원료명,Moisture,조단백질,조지방,칼슘,인,조섬유,조회분
MEAT MEAL-1(밀테크),0.1,0.6973,0.1257,0.05,0.025,0.01,0.12
offal-chk(밀테크),0.1,0.617,0.1657,0.05,0.025,0.01,0.1025
offal-duck(밀테크),0.1,0.6891,0.1294,0.05,0.025,0.01,0.05
ANIMAL FAT,0.01,0,0.99,0,0,0,0.003
Poul FAT(밀테크),0.01,0.001,0.995,0,0,0,0.03
LIMESTONE(FINE),0.01,0,0,0.38,0,0,0.99
MDCP,0.02,0,0,0.165,0.21,0,0.95
"SALT,99",0.02,0,0,0,0,0,0.99
VIT-PIG STARTER-SOW(NLCF),0.12,0.0792,0.0099,0,0,0.01,0.025
"MIN, PIG STARTER(NLCF)(밀테크)",0.02,0,0,0,0,0,0.98
LYSINE PWD 51%,0.05,0.5,0,0,0,0,0.03
DL-METHION(100%),0.05,0.93,0,0,0,0,0.03
TRYPTOPHAN(10%),0.1,0.1,0,0,0,0,0.03
THREONIN 100%,0.05,0.92,0,0,0,0,0.03
CHOLIN PWD(50%)(밀테크),0.1,0.15,0,0,0,0,0.03
JUMP STR-KP,0.08,0.4,0.25,0,0,0.01,0.06
Biopowder,0.1,0,0,0,0,0,0.05
Toxin Binder,0.1,0,0,0,0,0,0.9
BHT+PLUS,0.1,0,0,0,0,0,0.5
DDGS(CHINA),,,,,,,
CHEESE,,,,,,,
TCP,0,,,0.311,0.2065,,
오리,,,,,,,
콜라겐,,,,,,,
양배추분말,,,,,,,
브로콜리분말,0.1,0,0,0,0,0,0
녹색입홍합 분말,0.1,0,0,0,0,0,0
I&G - 강황,0.1,0,0,0,0,0,0
I&G - 코엔자임Q10,0.1,0,0,0,0,0,0
I&G - 타우린,0.1,0,0,0,0,0,0
타우린,0.1,0,0,0,0,0,0
I&G - 피시오일 (오메가3),0.1,0,0,0,0,0,0
IGY-장,0.1,0,0,0,0,0,0
Premix 1,0.1,0.24,0.07,0,0,0.03,0.05
Premix 5,0.067,0.14,0.01,0.001,0.001,0.05,0.06
가르시니아 캄보지아 추출물,0.1,0,0,0,0,0,0
연어어분,,,,,,,
가수분해연어단백,0.1,0.7,0.05,0,0,0,0.03
가수분해연어,0.1,0.7,0.05,0,0,0,0.03
가수분해 연어단백,0.1,0.7,0.05,0,0,0,0.03
다시마,0.1,0,0,0,0,0,0
메밀가루,0.1,0,0,0,0,0,0.1
메타중아황산나트륨,0.1,0,0,0,0,0,0
물범유,0.01,0,0.99,0,0,0,0
미역,0.1,0,0,0,0,0,0
밀크향,0.1,0,0,0,0,0,0
스모크향,0.1,0,0,0,0,0,0
블루베리,0.1,0,0,0,0,0,0
사슴고기,0.75,0.15,0.05,0,0,0,0
소간,0.75,0.15,0.05,0,0,0,0
아라자임,0.1,0,0,0,0,0,0
아스코필룸노도섬-에스틴,0.1,0,0,0,0,0,0
아연,0.1,0,0,0,0,0,0
양고기,0.75,0.15,0.05,0,0,0,0
연어,0.75,0.15,0.05,0,0,0,0
연어유,0.01,0,0.99,0,0,0,0
카라멜색소,0.1,0,0,0,0,0,0
위너,0.1,0,0,0,0,0.3,0
유미분,,,,,,,
유미분70,0.1,,0.7,,,,
일라이트,0.1,0,0,0,0,0,1
일라이트20kg 규조토(2공장),0.1,0,0,0,0,0,1
석회석,0.1,,,0.16,,,1
탄산칼슘,0.1,0,0,0.1,0,0,1
MCP,0.1,0,0,0.12,0.223,0,0.7
일라이트(규조토),0.1,0,0,0,0,0,1
정제포도당,0.1,0,0,0,0,0,0
포도당,0,0,0,0,0,0,0
함수결정포도당,0,0,0,0,0,0,0
무수결정포도당,0,0,0,0,0,0,0
초유,0.1,0,0,0,0,0,0
시나몬추출물,0.1,0,0,0,0,0,0
시나몬분말,0.1,0,0,0,0,0,0
카라멜색소,0.1,0,0,0,0,0,0
한우,0.75,0.15,0.05,0,0,0,0
홍삼박/타닌,0.1,0,0,0,0,0,0
후코이단,0.1,0,0,0,0,0,0
피로인산나트륨,0.1,0,0,0,0.4,0,0
피로인산염,0.1,0,0,0,0.4,0,0
 ,,,,,,,
